RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2021;II;1340;3;art. 134 p. 3;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1340;4;art. 134 p. 4;;;;;;5;1;;;;;;;;;;;;;;1;3;1;;;;1;
2021;II;1340;5;art. 134 p. 5;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1350;1;art. 135 p. 1;;2;1;;;2;1;;;;;;;;;;;;;;;;;;;;2;
2021;II;1350;2;art. 135 p. 2;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;II;1350;3;art. 135 p. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;II;1360;1;art. 136 p. 1;;;;;;;;6;1;;;;;240;150;;;4000;1000;;;;;;;;2;
2021;II;1360;2;art. 136 p. 2;;3;1;;;3;1;6;1;;;;;;;;;1000;500;;;;;;;;2;
2021;II;1360;3;art. 136 p. 3;;5;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2021;II;1370;1;art. 137 p. 1;;3;1;;;3;1;;;;;;;;;;;4000;1000;;1;3;1;;;;2;
2021;II;1370;2;art. 137 p. 2;;5;3;;;5;3;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1380;1;art. 138 p. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;
2021;II;1390;1;art. 139 p. 1;;;;;;;;;;;;2;0,5;200;60;;;50;30;;2;3;1;;;;1;
2021;II;1390;2;art. 139 p. 2;;3;1;;;4;1;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1400;1;art. 140 p. 1;;2;1;;;2;1;;;;;2;0,5;;;5;2;;;;;;;;;;2;
2021;II;1400;2;art. 140 p. 2;;3;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;
2021;II;1410;1;art. 141 p. 1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2021;II;1420;1;art. 142 p. 1;;3;1;;;4;1;;;;;2;0,5;;;;;200;30;;2;3;1;;;;2;
2021;II;1420;2;art. 142 p. 2;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1430;1;art. 143 p. 1;;3;1;;;3;1;;;;;2;0,5;;;;;50;30;;1;3;1;;;;2;
2021;II;1430;2;art. 143 p. 2;;5;1;;;;;;;;;;;;;;;;;;2;3;1;;;;2;
2021;II;1430;3;art. 143 p. 3;;7;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;
2021;II;1430;4;art. 143 p. 4;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;II;1430;5;art. 143 p. 5;;8;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;
