RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2001;II;1200;1;Art. 120 p.1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1200;2;Art. 120 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1200;3;Art. 120 p.3;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1210;1;Art. 121 p.1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1210;2;Art. 121 p.2;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1220;1;Art. 122 p.1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;
2001;II;1220;2;Art. 122 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;II;1230;1;Art. 123 p.1;;2;1;;;3;1;;;;;2;0,5;240;150;;;;;;;;;;;;1;
2001;II;1240;1;Art. 124 p.1;;;;;;2;1;6;1;;;2;0,5;240;150;;;;;;;;;;;;1;
2001;II;1250;1;Art. 125 p.1;;;;;;;;;;;;1;0,5;200;60;;;50;30;;;;;;;;1;
2001;II;1250;2;Art. 125 p.2;;;;;;2;1;6;1;;;1;0,5;240;150;;;;;;;;;;;;1;
2001;II;1260;1;Art. 126 p.1;;;;;;;;;;;;1;0,5;200;60;;;50;30;;;;;;;;1;
2001;II;1260;2;Art. 126 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1270;1;Art. 127 p.1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;II;1270;2;Art. 127 p.2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1280;1;Art. 128 p.1;;;;;;2;1;;;;;2;0,5;240;150;;;;;;;;;;;;1;
2001;II;1290;1;Art. 129 p.1;;;;;;2;1;6;1;;;;;;;;;;;;;;;;;;1;
2001;II;1290;2;Art. 129 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;II;1300;1;Art. 130 p.1;;3;1;;;5;1;3;1;;;;;;;;;;;;;;;;;;2;
2001;II;1300;2;Art. 130 p.2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;II;1300;3;Art. 130 p.3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1300;4;Art. 130 p.4;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1310;1;Art. 131 p.1;;3;1;;;3;1;;;;;;;;;3;2;;;;;;;;;;2;
2001;II;1310;2;Art. 131 p.2;;8;3;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;II;1320;1;Art. 132 p.1;;;;;;3;1;;;;;2;0,5;240;60;;;100;50;;;3;1;;;;1;
2001;II;1330;1;Art. 133 p.1;;2;1;;;2;1;6;1;;;2;0,5;;;;;;;;;;;;;;1;
2001;II;1330;2;Art. 133 p.2;;3;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1330;3;Art. 133 p.3;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;II;1340;1;Art. 134 p.1;;;;;;2;1;;;;;2;0,5;240;100;;;100;50;;;;;;;;1;
2001;II;1340;2;Art. 134 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1350;1;Art. 135 p.1;;2;1;;;2;1;;;;;;;;;;;;;;;;;;;;1;
2001;II;1350;2;Art. 135 p.2;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1350;3;Art. 135 p.3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;II;1360;1;Art. 136 p.1;;;;;;;;6;1;;;;;;;;;900;500;;;;;;;;1;
2001;II;1360;2;Art. 136 p.2;;;;;;3;1;6;1;;;;;;;;;1000;500;;;;;;;;1;
2001;II;1360;3;Art. 136 p.3;;5;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;II;1370;1;Art. 137 p.1;;;;;;;;;;;;;;240;60;3;2;50;30;;;;;;;;1;
2001;II;1370;2;Art. 137 p.2;;3;1;;;4;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1380;1;Art. 138 p.1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;
2001;II;1390;1;Art. 139 p.1;;;;;;;;;;;;2;0,5;;;;;50;30;;;3;1;;;;1;
2001;II;1390;2;Art. 139 p.2;;3;1;;;4;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1400;1;Art. 140 p.1;;2;1;;;2;1;;;;;2;0,5;;;5;2;;;;;;;;;;1;
2001;II;1400;2;Art. 140 p.2;;3;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1410;1;Art. 141 p.1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;II;1420;1;Art. 142 p.1;;;;;;4;1;;;;;2;0,5;;;;;200;30;;;3;1;;;;1;
2001;II;1420;2;Art. 142 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1430;1;Art. 143 p.1;;;;;;3;1;;;;;2;0,5;;;;;50;30;;;3;1;;;;1;
2001;II;1430;2;Art. 143 p.2;;3;1;;;3;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1430;3;Art. 143 p.3;;5;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1430;4;Art. 143 p.4;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1430;5;Art. 143 p.5;;7;5;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;II;1440;1;Art. 144 p.1;;;;;;2;1;;;;;2;0,5;;;3;2;;;;;;;;50;30;1;
2001;II;1440;2;Art. 144 p.2;;3;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1440;3;Art. 144 p.3;;5;1;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;II;1450;1;Art. 145 p.1;;;;;;;;;;;;2;0,5;240;60;3;2;50;30;;;;;;;;1;
2001;III;1460;1;Art. 146 p.1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;III;1460;2;Art. 146 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;III;1460;3;Art. 146 p.3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;III;1470;1;Art. 147 p.1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;III;1470;2;Art. 147 p.2;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;III;1480;1;Art. 148 p.1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;III;1490;1;Art. 149 p.1;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;III;1490;2;Art. 149 p.2;;15;5;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;III;1490;3;Art. 149 p.3;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;III;1500;1;Art. 150 p.1;;;;;;3;1;6;1;;;;;;;;;;;;;3;1;;;;1;
2001;III;1500;2;Art. 150 p.2;;5;2;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;III;1510;1;Art. 151 p.1;;;;;;2;1;6;1;;;;;;;;;;;;;3;1;;;;1;
2001;III;1510;2;Art. 151 p.2;;5;2;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;IV;1520;1;Art. 152 p.1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;IV;1520;2;Art. 152 p.2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;IV;1520;3;Art. 152 p.3;;12;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;IV;1520;4;Art. 152 p.4;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;IV;1530;1;Art. 153 p.1;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;IV;1530;2;Art. 153 p.2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;IV;1530;3;Art. 153 p.3;;12;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;IV;1540;1;Art. 154 p.1;;;;;;;;6;1;;;;;;;;;50;30;;;;;;;;1;
2001;IV;1540;2;Art. 154 p.2;;;;;;3;1;6;1;;;;;;;;;;;;;;;;;;1;
2001;IV;1550;1;Art. 155 p.1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;IV;1550;2;Art. 155 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;IV;1560;1;Art. 156 p.1;;;;;;3;1;6;1;;;;;;;;;;;;;;;;;;1;
2001;IV;1560;2;Art. 156 p.2;;3;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;V;1570;1;Art. 157 p.1;;4;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;V;1570;2;Art. 157 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1570;3;Art. 157 p.3;;12;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;V;1580;1;Art. 158 p.1;;3;1;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;V;1580;2;Art. 158 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1580;3;Art. 158 p.3;;8;5;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;V;1590;1;Art. 159 p.1;;3;1;;;;;;;;;;;;;;;1000;500;;;3;1;;;;2;
2001;V;1600;1;Art. 160 p.1;;3;1;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;2;
2001;V;1600;2;Art. 160 p.2;;5;1;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;2;
2001;V;1600;3;Art. 160 p.3;;5;1;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;2;
2001;V;1610;1;Art. 161 p.1;;;;;;5;1;;;;;2;0,5;;;;;50;30;;;3;1;;;;1;
2001;V;1610;2;Art. 161 p.2;;5;1;;;;;;;;;2;0,5;;;;;;;;;;;;;;2;
2001;V;1610;3;Art. 161 p.3;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1620;1;Art. 162 p.1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;
2001;V;1620;2;Art. 162 p.2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1630;1;Art. 163 p.1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;
2001;V;1630;2;Art. 163 p.2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;V;1640;1;Art. 164 p.1;;;;;;1;1;;;;;1;0,5;;;;;;;;;;;;;;1;
2001;V;1640;2;Art. 164 p.2;;;;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;1;
2001;V;1650;1;Art. 165 p.1;;;;;;;;;;;;1;0,5;;;;;50;30;;;;;;;;1;
2001;V;1650;2;Art. 165 p.2;;;;;;2;1;;;;;2;0,5;;;;;;;;;;;;;;1;
2001;V;1660;1;Art. 166 p.1;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;
2001;V;1670;1;Art. 167 p.1;;;;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;V;1680;1;Art. 168 p.1;;;;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;V;1680;2;Art. 168 p.2;;3;1;;;3;1;;;;;;;;;;;200;30;;;3;1;;;;2;
2001;V;1690;1;Art. 169 p.1;;;;;;;;;;;;2;0,5;;;;;120;50;;;;;;;;1;
2001;V;1690;2;Art. 169 p.2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1700;1;Art. 170 p.1;;3;1;;;;;;;;;2;0,5;;;;;;;;;3;1;;;;2;
2001;V;1710;1;Art. 171 p.1;;;;;;3;1;6;1;;;;;;;;;50;30;;;;;;;;1;
2001;V;1710;2;Art. 171 p.2;;;;;;5;1;;;;;;;;;3;2;200;30;;;;;;;;1;
2001;V;1720;1;Art. 172 p.1;;;;;;;;;;;;2;0,5;;;3;2;50;30;;;;;;;;1;
2001;V;1720;2;Art. 172 p.2;;;;;;;;6;1;;;2;0,5;;;5;2;100;50;;;;;;;;1;
2001;V;1730;1;Art. 173 p.1;;;;;;2;1;6;1;;;;;;;5;2;50;30;;;;;;;;1;
2001;V;1730;2;Art. 173 p.2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;
2001;V;1740;1;Art. 174 p.1;;;;;;3;1;6;1;;;;;;;;;50;30;;;;;;;;1;
2001;V;1750;1;Art. 175 p.1;;2;1;;;;;;;;;2;0,5;;;5;2;300;100;;;;;;;;1;
2001;V;1750;2;Art. 175 p.2;;3;1;;;5;1;;;;;;;;;;;1000;500;;;;;;;;2;
2001;V;1760;1;Art. 176 p.1;;;;;;;;;;;;2;0,5;;;;;400;100;1;;;;;;;1;
2001;V;1760;2;Art. 176 p.2;;2;1;;;;;;;;;2;0,5;;;;;800;200;1;;;;;;;1;
2001;V;1760;3;Art. 176 p.3;;;;;;2;1;6;1;;;;;;;;;1000;500;;;3;1;;;;1;
2001;V;1770;1;Art. 177 p.1;;;;;;;;;;;;2;0,5;;;;;400;100;1;;;;;;;1;
2001;V;1770;2;Art. 177 p.2;;2;1;;;;;;;;;2;0,5;;;;;800;200;1;;;;;;;1;
2001;V;1780;1;Art. 178 p.1;;3;1;;;;;;;;;;;;;;;300;30;;;;;;;;2;
2001;V;1790;1;Art. 179 p.1;;3;1;;;;;;;;;;;;;;;200;30;;;;;;;;2;
2001;V;1800;1;Art. 180 p.1;;;;;;2;1;6;1;;;;;;;;;50;30;;;;;;;;1;
2001;V;1800;2;Art. 180 p.2;;;;;;;;6;1;;;;;;;;;50;30;;;;;;;;1;
2001;V;1810;1;Art. 181 p.1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;V;1810;2;Art. 181 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;V;1820;1;Art. 182 p.1;;;;;;3;1;6;1;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;V;1830;1;Art. 183 p.1;;;;;;;;;;;;;;;;;;1000;30;;;3;1;;;;1;
2001;V;1830;2;Art. 183 p.2;;3;1;;;;;;;;;;;;;;;1000;30;;;3;1;;;;2;
2001;V;1840;1;Art. 184 p.1;;;;;;;;6;1;;;;;;;;;100;30;;;;;;;;1;
2001;V;1840;2;Art. 184 p.2;;;;;;;;;;;;2;0,5;;;;;1000;30;;;;;;;;1;
2001;VI;1850;1;Art. 185 p.1;;3;1;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;2;
2001;VI;1850;2;Art. 185 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;VI;1850;3;Art. 185 p.3;;6;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1850;4;Art. 185 p.4;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1850;5;Art. 185 p.5;;12;7;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1860;1;Art. 186 p.1;;4;1;;;;;;;;;2;0,5;;;;;100;50;;;;;;;;2;
2001;VI;1860;2;Art. 186 p.2;;6;4;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1860;3;Art. 186 p.3;;8;4;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1860;4;Art. 186 p.4;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1860;5;Art. 186 p.5;;13;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1870;1;Art. 187 p.1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1870;2;Art. 187 p.2;;10;7;;;;;;;;;;;;;;;;;1;;;;;;;3;
2001;VI;1870;3;Art. 187 p.3;;12;7;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1870;4;Art. 187 p.4;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1880;1;Art. 188 p.1;;3;1;;;;;;;;;;;;;;;500;100;;;;;;;;2;
2001;VI;1880;2;Art. 188 p.2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1880;3;Art. 188 p.3;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1890;1;Art. 189 p.1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;VI;1890;2;Art. 189 p.2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1890;3;Art. 189 p.3;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;
2001;VI;1890;4;Art. 189 p.4;;12;7;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1900;1;Art. 190 p.1;;;;;;3;1;;;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;VI;1900;2;Art. 190 p.2;;3;1;;;5;1;;;;;2;1;;;;;100;50;;;;;;;;2;
2001;VI;1900;3;Art. 190 p.3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VI;1900;4;Art. 190 p.4;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VI;1910;1;Art. 191 p.1;;4;1;;;4;1;;;;;2;0,5;;;;;50;30;;;3;1;;;;2;
2001;VI;1910;2;Art. 191 p.2;;5;1;;;5;1;;;;;;;;;;;;;;;3;1;;;;2;
2001;VI;1910;3;Art. 191 p.3;;8;3;;;5;3;;;;;;;;;;;;;;;3;1;;;;3;
2001;VI;1910;4;Art. 191 p.4;;8;5;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;VI;1910;5;Art. 191 p.5;;12;7;;;;;;;;;;;;;;;;;1;;3;1;;;;4;
2001;VI;1920;1;Art. 192 p.1;;;;;;;;6;1;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;VI;1920;2;Art. 192 p.2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;
2001;VI;1930;1;Art. 193 p.1;;;;;;;;6;1;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;VI;1940;1;Art. 194 p.1;;3;1;;;;;;;;;2;0,5;;;;;50;30;;;;;;;;2;
2001;VI;1940;2;Art. 194 p.2;;15;3;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;VI;1950;1;Art. 195 p.1;;;;;;;;6;1;;;1;0,5;;;;;50;30;;;;;;;;1;
2001;VI;1960;1;Art. 196 p.1;;3;1;;;4;1;;;;;2;0,5;;;;;;;;;;;;;;2;
2001;VI;1970;1;Art. 197 p.1;;;;;;2;1;;;;;2;1;;;;;50;30;;;;;;;;1;
2001;VI;1980;1;Art. 198 p.1;;3;1;;;3;1;6;1;;;;;;;;;;;;;;;;;;2;
2001;VII;1990;1;Art. 199 p.1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;1990;2;Art. 199 p.2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;1990;3;Art. 199 p.3;;12;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VII;2000;1;Art. 200 p.1;;3;1;;;;;;;;;;;;;;;1000;500;;;;;;;;2;
2001;VII;2000;2;Art. 200 p.2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;VII;2010;1;Art. 201 p.1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;2010;2;Art. 201 p.2;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VII;2020;1;Art. 202 p.1;;;;;;2;1;;;;;2;0,5;;;;;250;100;;;;;;;;1;
2001;VII;2020;2;Art. 202 p.2;;;;;;3;1;;;;;;;;;;;500;200;;;;;;;;1;
2001;VII;2030;1;Art. 203 p.1;;;;;;;;;;;;;;;;;;100;50;;;3;1;;;;1;
2001;VII;2030;2;Art. 203 p.2;;;;;;5;1;;;;;;;;;;;;;;;3;1;;;;1;
2001;VII;2040;1;Art. 204 p.1;;;;;;3;1;;;;;;;;;;;1000;500;;;;;;;;1;
2001;VII;2040;2;Art. 204 p.2;;5;3;;;;;;;;;;;;;;;2000;1000;;;;;;;;2;
2001;VII;2040;3;Art. 204 p.3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;2050;1;Art. 205 p.1;;;;;;3;1;;;;;;;;;;;500;300;;;;;;;;1;
2001;VII;2050;2;Art. 205 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;VII;2060;1;Art. 206 p.1;;;;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;1;
2001;VII;2060;2;Art. 206 p.2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2001;VII;2060;3;Art. 206 p.3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;2070;1;Art. 207 p.1;;;;;;3;1;;;;;2;0,5;;;;;1000;600;;;;;;;;1;
2001;VII;2070;2;Art. 207 p.2;;3;1;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;VII;2070;3;Art. 207 p.3;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;VII;2080;1;Art. 208 p.1;;;;;;4;2;;;;;2;0,5;;;;;1000;500;;;;;;;;1;
2001;VII;2080;2;Art. 208 p.2;;5;3;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;VII;2090;1;Art. 209 p.1;;3;1;;;5;3;;;;;;;;;;;3000;500;1;;;;;;;2;
2001;VII;2090;2;Art. 209 p.2;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;VII;2100;1;Art. 210 p.1;;;;;;3;1;;;;;2;0,5;;;;;100;300;;;3;1;;;;1;
2001;VII;2100;2;Art. 210 p.2;;8;2;;;5;2;;;;;;;;;;;;;;;3;1;;;;3;
2001;VII;2110;1;Art. 211 p.1;;4;1;;;5;1;;;;;2;0,5;;;;;400;100;;;3;1;;;;2;
2001;VII;2110;2;Art. 211 p.2;;10;3;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;VII;2120;1;Art. 212 p.1;;;;;;;;;;;;;;;;3;2;500;300;;;;;;;;1;
2001;VII;2120;2;Art. 212 p.2;;;;;;5;1;;;;;2;0,5;;;;;2000;500;;;3;1;;;;1;
2001;VII;2120;3;Art. 212 p.3;;10;5;;;;;;;;;;;;;;;;;1;;3;1;;;;3;
2001;VII;2130;1;Art. 213 p.1;;;;;;;;;;;;;;200;100;;;500;100;;;;;;;;1;
2001;VII;2130;2;Art. 213 p.2;;;;;;3;1;;;;;;;;;;;1000;500;;;;;;;;1;
2001;VII;2140;1;Art. 214 p.1;;;;;;2;1;;;;;;;;;;;1000;300;;;;;;;;1;
2001;VII;2150;1;Art. 215 p.1;;;;;;3;1;;;;;2;0,5;;;;;50;30;;;;;;;;1;
2001;VII;2160;1;Art. 216 p.1;;;;;;4;1;;;;;;;;;;;300;100;;;;;;;;1;
2001;VII;2160;2;Art. 216 p.2;;5;3;;;;;;;;;;;;;;;1000;300;;;;;;;;2;
2001;VII;2170;1;Art. 217 p.1;;;;;;2;1;;;;;;;;;;;300;100;;;;;;;;1;
2001;VII;2170;2;Art. 217 p.2;;;;;;5;3;;;;;;;;;;;1000;300;;;;;;;;1;
2001;VII;2180;1;Art. 218 p.1;;;;;;3;1;;;;;;;;;;;2000;750;;;;;;;;1;
2001;VII;2190;1;Art. 219 p.1;;;;;;3;1;;;;;;;;;;;800;500;;;3;1;;;;1;
2001;VII;2200;1;Art. 220 p.1;;;;;;2;1;;;;;;;;;;;3000;2000;;;3;1;;;;1;
2001;VII;2210;1;Art. 221 p.1;;;;;;;;3;1;;;;;;;;;500;100;;;3;1;;;;1;
2001;VII;2220;1;Art. 222 p.1;;;;;;3;1;;;;;;;;;;;1000;500;;;3;1;;;;1;
2001;VII;2220;2;Art. 222 p.2;;5;2;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;VII;2230;1;Art. 223 p.1;;;;;;;;;;;;2;0,5;;;3;2;50;30;;;;;;;;1;
2001;VII;2230;2;Art. 223 p.2;;;;;;3;1;;;;;;;;;5;2;50;30;;;;;;;;1;
2001;VII;2240;1;Art. 224 p.1;;;;;;5;2;;;;;;;;;;;;;;;3;1;;;;1;
2001;VII;2240;2;Art. 224 p.2;;5;2;;;;;;;;;;;;;;;;;;;3;1;;;;2;
2001;VII;2240;3;Art. 224 p.3;;7;5;;;;;;;;;;;;;;;;;;;3;1;;;;3;
2001;VII;2250;1;Art. 225 p.1;;;;;;;;;;;;2;0,5;200;100;;;50;30;;;3;1;;;;1;
2001;VII;2250;2;Art. 225 p.2;;;;;;3;1;;;;;;;;;;;500;100;;;3;1;;;;1;
2001;VII;2260;1;Art. 226 p.1;;;;;;;;;;;;2;0,5;200;60;;;100;30;;;;;;;;1;
2001;VII;2260;2;Art. 226 p.2;;;;;;3;1;;;;;;;;;;;200;100;;;;;;;;1;
2001;VII;2270;1;Art. 227 p.1;;;;;;;;;;;;2;0,5;;;;;200;100;;;3;1;;;;1;
2001;VII;2280;1;Art. 228 p.1;;;;;;3;1;;;;;;;;;;;300;100;;;;;;;;1;
