RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2001;I;1090;1;Art. 109 p.1;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2001;I;1090;2;Art. 109 p.2;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;I;1090;3;Art. 109 p.3;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;I;1100;1;Art. 110 p.1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2001;I;1100;2;Art. 110 p.2;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;I;1100;3;Art. 110 p.3;;12;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;I;1110;1;Art. 111 p.1;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;I;1120;1;Art. 112 p.1;1;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;I;1130;1;Art. 113 p.1;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;I;1140;1;Art. 114 p.1;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;II;1150;1;Art. 115 p.1;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2001;II;1150;2;Art. 115 p.2;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2001;II;1160;1;Art. 116 p.1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1170;1;Art. 117 p.1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2001;II;1180;1;Art. 118 p.1;;2;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;1;
2001;II;1190;1;Art. 119 p.1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2001;II;1190;2;Art. 119 p.2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
