RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO;RANK;INDEX
2019;II;1330;2;Ст. 133 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1330;3;Ст. 133 ч. 3;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1340;1;Ст. 134 ч. 1;;;;;;2;1;;;;;2;0,5;240;100;;;100;50;;;;;;;;1;;;
2019;II;1340;2;Ст. 134 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1340;3;Ст. 134 ч. 3;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1340;4;Ст. 134 ч. 4;;;;;;5;1;;;;;;;;;;;;;;1;3;1;;;;1;;;
2019;II;1340;5;Ст. 134 ч. 5;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1350;1;Ст. 135 ч. 1;;2;1;;;2;1;;;;;;;;;;;;;;;;;;;;1;;;
2019;II;1350;2;Ст. 135 ч. 2;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1350;3;Ст. 135 ч. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1360;1;Ст. 136 ч. 1;;;;;;;;6;1;;;;;240;150;;;500;200;;;;;;;;1;;;
2019;II;1360;2;Ст. 136 ч. 2;;;;;;3;1;6;1;;;;;;;;;1000;500;;;;;;;;1;;;
2019;II;1360;3;Ст. 136 ч. 3;;5;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1370;1;Ст. 137 ч. 1;;3;1;;;3;1;;;;;;;;;;;300;100;;1;3;1;;;;2;;;
2019;II;1370;2;Ст. 137 ч. 2;;5;3;;;5;3;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1380;1;Ст. 138 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;;;
2019;II;1390;1;Ст. 139 ч. 1;;;;;;;;;;;;2;0,5;200;60;;;50;30;;2;3;1;;;;1;;;
2019;II;1390;2;Ст. 139 ч. 2;;3;1;;;4;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1400;1;Ст. 140 ч. 1;;2;1;;;2;1;;;;;2;0,5;;;5;2;;;;;;;;;;1;;;
2019;II;1400;2;Ст. 140 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;II;1410;1;Ст. 141 ч. 1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1420;1;Ст. 142 ч. 1;;;;;;4;1;;;;;2;0,5;;;;;200;30;;2;3;1;;;;1;;;
2019;II;1420;2;Ст. 142 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1430;1;Ст. 143 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;50;30;;1;3;1;;;;1;;;
2019;II;1430;2;Ст. 143 ч. 2;;5;1;;;;;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;II;1430;3;Ст. 143 ч. 3;;7;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;II;1430;4;Ст. 143 ч. 4;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1430;5;Ст. 143 ч. 5;;8;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;II;1440;1;Ст. 144 ч. 1;;;;;;2;1;;;;;2;0,5;;;3;2;;;;;;;1;50;30;1;;;
2019;II;1440;2;Ст. 144 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1440;3;Ст. 144 ч. 3;;5;1;;;;;;;;;;;;;;;;;;2;3;1;2;750;250;2;;;
2019;II;1450;1;Ст. 145 ч. 1;;;;;;;;;;;;2;0,5;240;60;;;50;30;;2;3;1;;;;1;;;
2019;III;1460;1;Ст. 146 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;III;1460;2;Ст. 146 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;III;1460;3;Ст. 146 ч. 3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1461;1;Ст. 146-1 ч. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;III;1461;2;Ст. 146-1 ч. 2;;7;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1470;1;Ст. 147 ч. 1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1470;2;Ст. 147 ч. 2;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;III;1480;1;Ст. 148 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;III;1490;1;Ст. 149 ч. 1;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1490;2;Ст. 149 ч. 2;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;III;1490;3;Ст. 149 ч. 3;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;III;1500;1;Ст. 150 ч. 1;;;;;;3;1;6;1;;;;;;;;;;;;2;3;1;;;;1;;;
2019;III;1500;2;Ст. 150 ч. 2;;5;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;III;1500;3;Ст. 150 ч. 3;;10;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;III;1501;1;Ст. 150-1 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;III;1501;2;Ст. 150-1 ч. 2;;8;3;;;5;1;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1501;3;Ст. 150-1 ч. 3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;III;1510;1;Ст. 151 ч. 1;;2;1;;;2;1;6;3;;;;;;;;;;;;2;3;1;;;;1;;;
2019;III;1510;2;Ст. 151 ч. 2;;5;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;III;1512;1;Ст. 151-2 ч. 1;;3;1;;;3;1;6;1;;;;;;;;;;;;;;;;;;2;;;
2019;III;1512;2;Ст. 151-2 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1520;1;Ст. 152 ч. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1520;2;Ст. 152 ч. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IV;1520;3;Ст. 152 ч. 3;;12;7;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IV;1520;4;Ст. 152 ч. 4;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IV;1520;5;Ст. 152 ч. 5;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IV;1530;1;Ст. 153 ч. 1;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1530;2;Ст. 153 ч. 2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IV;1530;3;Ст. 153 ч. 3;;7;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IV;1530;4;Ст. 153 ч. 4;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IV;1530;5;Ст. 153 ч. 5;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IV;1540;1;Ст. 154 ч. 1;;;;;;;;6;1;;;;;;;;;50;30;;;;;;;;1;;;
2019;IV;1540;2;Ст. 154 ч. 2;;;;;;2;1;;;;;;;;;;;1000;30;;;;;;;;1;;;
2019;IV;1540;3;Ст. 154 ч. 3;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1550;1;Ст. 155 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1550;2;Ст. 155 ч. 2;;8;5;;;;;;;;;;;;;;;;;;1;3;1;;;;3;;;
