RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO;RANK;INDEX
2019;VI;1920;2;Ст. 192 ч. 2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;;;
2019;VI;1930;1;Ст. 193 ч. 1;;;;;;;;6;1;;;2;0,5;240;60;;;150;100;;;;;;;;1;;;
2019;VI;1940;1;Ст. 194 ч. 1;;3;1;;;3;1;;;;;2;0,5;240;120;;;50;30;;;;;;;;2;;;
2019;VI;1940;2;Ст. 194 ч. 2;;10;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1941;1;Ст. 194-1 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;200;100;;;;;;;;2;;;
2019;VI;1941;2;Ст. 194-1 ч. 2;;10;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1941;3;Ст. 194-1 ч. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;VI;1950;1;Ст. 195 ч. 1;;;;;;;;6;1;;;1;0,5;120;60;;;50;30;;;;;;;;1;;;
2019;VI;1960;1;Ст. 196 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;;;
2019;VI;1970;1;Ст. 197 ч. 1;;;;;;2;1;;;;;2;0,5;240;120;;;50;30;;;;;;;;1;;;
2019;VI;1971;1;Ст. 197-1 ч. 1;;;;;;;;6;1;;;;;;;;;300;200;;;;;;;;1;;;
2019;VI;1971;2;Ст. 197-1 ч. 2;;2;1;;;4;2;;;;;;;;;;;;;;;;;;;;1;;;
2019;VI;1971;3;Ст. 197-1 ч. 3;;;;;;3;1;6;1;;;;;;;;;500;300;;;;;;;;1;;;
2019;VI;1971;4;Ст. 197-1 ч. 4;;3;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;VI;1980;1;Ст. 198 ч. 1;;3;1;;;3;1;6;1;;;;;;;;;;;;;;;;;;2;;;
2019;VII;1990;1;Ст. 199 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VII;1990;2;Ст. 199 ч. 2;;10;5;;;;;;;;;;;;;;;;;2;;;;;;;3;;;
2019;VII;1990;3;Ст. 199 ч. 3;;12;8;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VII;2000;1;Ст. 200 ч. 1;;;;;;;;;;;;;;;;;;5000;3000;;;;;;;;2;;;
2019;VII;2000;2;Ст. 200 ч. 2;;;;;;;;;;;;;;;;;;10000;5000;;;;;;;;2;;;
2019;VII;2010;1;Ст. 201 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VII;2010;2;Ст. 201 ч. 2;;12;5;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VII;2011;1;Ст. 201-1 ч. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;VII;2011;2;Ст. 201-1 ч. 2;;10;5;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;;;
2019;VII;2011;3;Ст. 201-1 ч. 3;;12;10;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;;;
2019;VII;2031;1;Ст. 203-1 ч. 1;;;;;;;;;;;;;;;;;;5000;3000;;;;;;;;2;;;
2019;VII;2031;2;Ст. 203-1 ч. 2;;;;;;;;;;;;;;;;;;10000;5000;;;;;;;;2;;;
2019;VII;2032;1;Ст. 203-2 ч. 1;;;;;;;;;;;;;;;;;;40000;10000;;;;;;;;4;;;
2019;VII;2032;2;Ст. 203-2 ч. 2;;;;;;;;;;;;;;;;;;50000;40000;;;;;;;;4;;;
2019;VII;2040;1;Ст. 204 ч. 1;;;;;;;;;;;;;;;;;;10000;5000;;;;;;;;2;;;
2019;VII;2040;2;Ст. 204 ч. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;VII;2040;3;Ст. 204 ч. 3;;10;8;;;;;;;;;;;;;;;;;2;;;;;;;3;;;
2019;VII;2050;1;Ст. 205 ч. 1;;;;;;;;;;;;;;;;;;2000;500;;;;;;;;1;;;
2019;VII;2050;2;Ст. 205 ч. 2;;;;;;;;;;;;;;;;;;5000;3000;;;;;;;;2;;;
2019;VII;2051;1;Ст. 205-1 ч. 1;;;;;;2;1;6;3;;;;;;;;;1000;500;;;;;;;;1;;;
2019;VII;2051;2;Ст. 205-1 ч. 2;;;;;;5;3;;;;;;;;;;;2000;1000;;1;3;1;;;;1;;;
2019;VII;2060;1;Ст. 206 ч. 1;;;;;;;;;;;;;;;;;;3000;1000;;;;;;;;1;;;
2019;VII;2060;2;Ст. 206 ч. 2;;5;3;;;;;;;;;;;;;;;10000;3000;;;;;;;;2;;;
2019;VII;2060;3;Ст. 206 ч. 3;;10;5;;;;;;;;;;;;;;;25000;10000;;;;;;;;3;;;
2019;VII;2062;1;Ст. 206-2 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;2;2;1;;;;2;;;
2019;VII;2062;2;Ст. 206-2 ч. 2;;5;3;;;;;;;;;;;;;;;;;;2;2;1;;;;2;;;
2019;VII;2062;3;Ст. 206-2 ч. 3;;10;5;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;;;
2019;VII;2090;1;Ст. 209 ч. 1;;6;3;;;;;;;;;;;;;;;;;2;2;2;1;;;;3;;;
2019;VII;2090;2;Ст. 209 ч. 2;;12;7;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;;;
2019;VII;2090;3;Ст. 209 ч. 3;;15;8;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;;;
2019;VII;2091;1;Ст. 209-1 ч. 1;;;;;;;;;;;;;;;;;;2000;1000;;2;3;1;;;;1;;;
2019;VII;2091;2;Ст. 209-1 ч. 2;;;;;;;;;;;;;;;;;;5000;3000;;2;3;1;;;;2;;;
2019;VII;2100;1;Ст. 210 ч. 1;;;;;;;;;;;;2;0,5;;;;;300;100;;1;3;1;;;;1;;;
2019;VII;2100;2;Ст. 210 ч. 2;;6;2;;;5;2;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;VII;2110;1;Ст. 211 ч. 1;;4;1;;;5;1;;;;;2;0,5;;;;;400;100;;2;3;1;;;;2;;;
2019;VII;2110;2;Ст. 211 ч. 2;;6;2;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;VII;2120;1;Ст. 212 ч. 1;;;;;;;;;;;;;;;;;;2000;1000;;2;3;1;;;;1;;;
2019;VII;2120;2;Ст. 212 ч. 2;;;;;;;;;;;;;;;;;;3000;2000;;2;3;1;;;;1;;;
2019;VII;2120;3;Ст. 212 ч. 3;;;;;;;;;;;;;;;;;;25000;15000;2;2;3;1;;;;3;;;
2019;VII;2121;1;Ст. 212-1 ч. 1;;;;;;;;;;;;;;;;3;2;2000;1000;;;;;;;;1;;;
2019;VII;2121;2;Ст. 212-1 ч. 2;;;;;;;;;;;;;;;;;;3000;2000;;2;3;1;;;;1;;;
2019;VII;2121;3;Ст. 212-1 ч. 3;;;;;;;;;;;;;;;;;;25000;15000;2;2;3;1;;;;3;;;
2019;VII;2130;1;Ст. 213 ч. 1;;;;;;1;1;;;;;2;0,5;;;;;2000;1500;;;;;;;;1;;;
2019;VII;2130;2;Ст. 213 ч. 2;;3;1;;;;;;;;;;;;;;;4000;3000;;;;;;;;2;;;
2019;VII;2160;1;Ст. 216 ч. 1;;;;;;;;;;;;;;;;;;1000;500;;;;;;;;1;;;
2019;VII;2160;2;Ст. 216 ч. 2;;;;;;;;;;;;;;;;;;5000;3000;;;;;;;;2;;;
2019;VII;2181;1;Ст. 218-1 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VII;2190;1;Ст. 219 ч. 1;;;;;;;;;;;;;;;;;;3000;2000;;2;3;1;;;;1;;;
2019;VII;2201;1;Ст. 220-1 ч. 1;;;;;;;;;;;;;;;;;;1000;800;;;;;;;;1;;;
2019;VII;2201;2;Ст. 220-1 ч. 2;;;;;;;;;;;;;;;;;;3000;2000;;2;3;1;;;;1;;;
2019;VII;2201;3;Ст. 220-1 ч. 3;;;;;;;;;;;;;;;;;;1000;800;;;;;;;;1;;;
2019;VII;2201;4;Ст. 220-1 ч. 4;;4;1;;;;;;;;;;;;;;;;;;2;10;1;;;;2;;;
2019;VII;2202;1;Ст. 220-2 ч. 1;;;;;;4;1;;;;;;;;;;;1000;800;;2;10;1;;;;1;;;
2019;VII;2220;1;Ст. 222 ч. 1;;;;;;;;;;;;;;;;;;3000;1000;;2;3;1;;;;1;;;
2019;VII;2220;2;Ст. 222 ч. 2;;;;;;;;;;;;;;;;;;10000;3000;;2;3;1;;;;2;;;
2019;VII;2221;1;Ст. 222-1 ч. 1;;;;;;;;;;;;;;;;;;10000;5000;;1;3;1;;;;2;;;
2019;VII;2221;2;Ст. 222-1 ч. 2;;;;;;;;;;;;;;;;;;10000;5000;;2;3;1;;;;2;;;
2019;VII;2231;1;Ст. 223-1 ч. 1;;;;;;;;;;;;;;;;3;2;2000;1000;;;;;;;;1;;;
2019;VII;2232;1;Ст. 223-2 ч. 1;;;;;;;;;;;;;;;;;;5000;3000;;2;3;1;;;;2;;;
2019;VII;2240;1;Ст. 224 ч. 1;;;;;;;;;;;;;;;;;;2000;1000;;2;3;1;;;;1;;;
2019;VII;2240;2;Ст. 224 ч. 2;;;;;;;;;;;;;;;;;;10000;3000;;2;3;1;;;;2;;;
2019;VII;2240;3;Ст. 224 ч. 3;;;;;;;;;;;;;;;;;;15000;10000;;2;3;1;;;;3;;;
2019;VII;2270;1;Ст. 227 ч. 1;;;;;;;;;;;;;;;;;;1000;500;;2;3;1;;;;1;;;
2019;VII;2290;1;Ст. 229 ч. 1;;;;;;;;;;;;;;;;;;2000;1000;;;;;;;;1;;;
2019;VII;2290;2;Ст. 229 ч. 2;;;;;;;;;;;;;;;;;;10000;3000;;;;;;;;2;;;
2019;VII;2290;3;Ст. 229 ч. 3;;;;;;;;;;;;;;;;;;15000;10000;;1;3;1;;;;3;;;
2019;VII;2310;1;Ст. 231 ч. 1;;;;;;;;;;;;;;;;;;8000;3000;;;;;;;;2;;;
2019;VII;2320;1;Ст. 232 ч. 1;;;;;;;;;;;;;;;;;;3000;1000;;2;3;1;;;;1;;;
2019;VII;2321;1;Ст. 232-1 ч. 1;;;;;;;;;;;;;;;;;;2000;750;;1;3;1;;;;1;;;
2019;VII;2321;2;Ст. 232-1 ч. 2;;;;;;;;;;;;;;;;;;5000;3000;;1;3;1;;;;2;;;
2019;VII;2321;3;Ст. 232-1 ч. 3;;;;;;;;;;;;;;;;;;8000;5000;;1;3;1;;;;2;;;
2019;VII;2321;4;Ст. 232-1 ч. 4;;;;;;;;;;;;;;;;;;10000;8000;;2;3;1;;;;2;;;
2019;VII;2322;1;Ст. 232-2 ч. 1;;;;;;;;;;;;;;;;;;2000;1000;;1;3;1;;;;1;;;
2019;VII;2322;2;Ст. 232-2 ч. 2;;;;;;;;;;;;;;;;;;3000;2000;;2;3;1;;;;1;;;
2019;VII;2330;1;Ст. 233 ч. 1;;;;;;;;;;;;;;;;;;10000;5000;;;;;;;;2;;;
2019;VII;2330;2;Ст. 233 ч. 2;;;;;;;;;;;;;;;;;;30000;25000;1;;;;;;;4;;;
2019;VIII;2360;1;Ст. 236 ч. 1;;10;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;VIII;2370;1;Ст. 237 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VIII;2380;1;Ст. 238 ч. 1;;;;;;3;1;;;;;;;;;3;1;100;30;;;;;;;;1;;;
2019;VIII;2380;2;Ст. 238 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;VIII;2390;1;Ст. 239 ч. 1;;;;;;;;;;;;;;;;3;1;200;30;;;;;;;;1;;;
2019;VIII;2390;2;Ст. 239 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;VIII;2391;1;Ст. 239-1 ч. 1;;;;;;3;1;;;;;;;;;;;500;200;;2;3;1;;;;1;;;
2019;VIII;2391;2;Ст. 239-1 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VIII;2391;3;Ст. 239-1 ч. 3;;5;3;;;5;3;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VIII;2392;1;Ст. 239-2 ч. 1;;;;;;3;1;;;;;;;;;;;300;100;;2;3;1;;;;1;;;
2019;VIII;2392;2;Ст. 239-2 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VIII;2392;3;Ст. 239-2 ч. 3;;5;3;;;5;3;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VIII;2400;1;Ст. 240 ч. 1;;2;1;;;2;1;;;;;;;;;;;600;300;;;;;;;;1;;;
2019;VIII;2400;2;Ст. 240 ч. 2;;3;1;;;3;1;;;;;;;;;;;700;400;;;;;;;;2;;;
2019;VIII;2400;3;Ст. 240 ч. 3;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;;;
2019;VIII;2400;4;Ст. 240 ч. 4;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VIII;2410;1;Ст. 241 ч. 1;;;;;;3;1;;;;;;;;;;;200;100;;1;3;1;;;;1;;;
2019;VIII;2410;2;Ст. 241 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;VIII;2420;1;Ст. 242 ч. 1;;;;;;5;1;;;;;;;;;5;2;200;100;;;;;;;;1;;;
2019;VIII;2420;2;Ст. 242 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;VIII;2430;1;Ст. 243 ч. 1;;3;1;;;3;1;;;;;;;;;;;800;300;;1;3;1;;;;2;;;
2019;VIII;2430;2;Ст. 243 ч. 2;;5;2;;;;;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;VIII;2430;3;Ст. 243 ч. 3;;;;;;3;1;;;;;;;;;5;1;200;100;;;;;;;;1;;;
2019;VIII;2440;1;Ст. 244 ч. 1;;2;1;;;3;1;;;;;;;;;;;200;100;;;;;;;;1;;;
2019;VIII;2440;2;Ст. 244 ч. 2;;;;;;;;6;1;;;;;;;;;100;50;;;;;;;;1;;;
2019;VIII;2450;1;Ст. 245 ч. 1;;5;2;;;5;2;;;;;;;;;;;500;300;;;;;;;;2;;;
2019;VIII;2450;2;Ст. 245 ч. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VIII;2460;1;Ст. 246 ч. 1;;3;1;;;3;1;6;1;;;;;;;;;1000;1500;;;;;;;;2;;;
2019;VIII;2460;2;Ст. 246 ч. 2;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;VIII;2460;3;Ст. 246 ч. 3;;5;3;;;5;3;;;;;;;;;;;1500;2000;;;;;;;;2;;;
2019;VIII;2460;4;Ст. 246 ч. 4;;7;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VIII;2470;1;Ст. 247 ч. 1;;;;;;2;1;;;;;;;200;120;;;100;30;;;;;;;;1;;;
2019;VIII;2480;1;Ст. 248 ч. 1;;;;;;3;1;;;;;;;240;160;;;200;100;;;;;;;;1;;;
2019;VIII;2480;2;Ст. 248 ч. 2;;5;1;;;5;1;;;;;;;;;;;200;400;;;;;;;;2;;;
2019;VIII;2490;1;Ст. 249 ч. 1;;;;;;3;1;;;;;;;;;;;200;100;;;;;;;;1;;;
2019;VIII;2490;2;Ст. 249 ч. 2;;3;1;;;3;1;;;;;;;;;;;400;200;;;;;;;;2;;;
2019;VIII;2500;1;Ст. 250 ч. 1;;3;1;;;5;2;6;1;;;;;;;;;50;30;;;;;;;;2;;;
2019;VIII;2510;1;Ст. 251 ч. 1;;3;1;;;3;1;;;;;;;;;5;2;200;100;;;;;;;;2;;;
2019;VIII;2520;1;Ст. 252 ч. 1;;;;;;3;1;;;;;;;;;;;200;100;;;;;;;;1;;;
2019;VIII;2520;2;Ст. 252 ч. 2;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;VIII;2530;1;Ст. 253 ч. 1;;;;;;3;1;;;;;;;;;3;2;;;;;;;;;;1;;;
2019;VIII;2530;2;Ст. 253 ч. 2;;5;1;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;VIII;2540;1;Ст. 254 ч. 1;;;;;;2;1;;;;;;;;;;;250;30;;1;3;1;;;;1;;;
2019;IX;2550;1;Ст. 255 ч. 1;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IX;2560;1;Ст. 256 ч. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2560;2;Ст. 256 ч. 2;;10;5;;;;;;;;;;;;;3;2;;;;;;;;;;3;;;
2019;IX;2570;1;Ст. 257 ч. 1;;15;5;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;XI;2580;1;Ст. 258 ч. 1;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2580;2;Ст. 258 ч. 2;;12;7;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2580;3;Ст. 258 ч. 3;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2581;1;Ст. 258-1 ч. 1;;5;3;;;;;;;;;;;;;;;;;1;;;;;;;2;;;
2019;IX;2581;2;Ст. 258-1 ч. 2;;7;4;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2582;1;Ст. 258-2 ч. 1;;3;1;;;3;1;6;1;;;2;0,5;;;;;;;1;;;;;;;2;;;
2019;XI;2582;2;Ст. 258-2 ч. 2;;5;1;;;4;1;;;;;;;;;3;2;;;1;;;;;;;2;;;
2019;IX;2583;1;Ст. 258-3 ч. 1;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2584;1;Ст. 258-4 ч. 1;;8;3;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2584;2;Ст. 258-4 ч. 2;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2585;1;Ст. 258-5 ч. 1;;8;5;;;;;;;;;;;;;;;;;2;2;2;1;;;;3;;;
2019;IX;2585;2;Ст. 258-5 ч. 2;;10;8;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;;;
2019;IX;2585;3;Ст. 258-5 ч. 3;;12;10;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;;;
2019;IX;2590;1;Ст. 259 ч. 1;;6;2;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2590;2;Ст. 259 ч. 2;;8;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2600;1;Ст. 260 ч. 1;;5;2;;;;;;;;;;;;;;;;;1;;;;;;;2;;;
2019;IX;2600;2;Ст. 260 ч. 2;;8;3;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2600;3;Ст. 260 ч. 3;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;IX;2600;4;Ст. 260 ч. 4;;12;7;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2600;5;Ст. 260 ч. 5;;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2610;1;Ст. 261 ч. 1;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;IX;2620;1;Ст. 262 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2620;2;Ст. 262 ч. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2620;3;Ст. 262 ч. 3;;15;10;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;IX;2630;1;Ст. 263 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2630;2;Ст. 263 ч. 2;;3;1;;;5;2;6;2;;;;;240;120;;;50;30;;;;;;;;2;;;
2019;IX;2631;1;Ст. 263-1 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2631;2;Ст. 263-1 ч. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2631;3;Ст. 263-1 ч. 3;;12;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IX;2640;1;Ст. 264 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2650;1;Ст. 265 ч. 1;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2650;2;Ст. 265 ч. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2650;3;Ст. 265 ч. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IX;2651;1;Ст. 265-1 ч. 1;;5;2;;;5;2;;;;;;;;;;;700;300;;;;;;;;2;;;
2019;IX;2651;1;Ст. 265-1 ч. 1;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2651;2;Ст. 265-1 ч. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2651;3;Ст. 265-1 ч. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IX;2660;1;Ст. 266 ч. 1;;3;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2660;2;Ст. 266 ч. 2;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;IX;2670;1;Ст. 267 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;200;100;;;;;;;;2;;;
2019;IX;2670;2;Ст. 267 ч. 2;;12;3;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;IX;2671;1;Ст. 267-1 ч. 1;;3;1;;;3;1;;;;;;;;;;;80;50;;;;;;;;2;;;
2019;IX;2671;2;Ст. 267-1 ч. 2;;4;2;;;4;2;;;;;;;;;;;85;70;;;;;;;;2;;;
2019;IX;2671;3;Ст. 267-1 ч. 3;;5;2;;;5;2;;;;;;;;;;;100;75;;;;;;;;2;;;
2019;IX;2671;4;Ст. 267-1 ч. 4;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2680;1;Ст. 268 ч. 1;;;;;;3;1;;;;;;;;;;;100;30;;;;;;;;1;;;
2019;IX;2680;2;Ст. 268 ч. 2;;3;1;;;;;;;;;;;;;;;200;50;;;;;;;;2;;;
2019;IX;2690;1;Ст. 269 ч. 1;;2;1;;;2;1;;;;;2;0,5;;;;;50;30;;;;;;;;1;;;
2019;IX;2690;2;Ст. 269 ч. 2;;10;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2700;1;Ст. 270 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;120;50;;;;;2;10000;5000;1;;;
2019;IX;2700;2;Ст. 270 ч. 2;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2701;1;Ст. 270-1 ч. 1;;3;1;;;3;1;;;;;2;1;;;;;250;100;;;;;;;;2;;;
2019;IX;2701;2;Ст. 270-1 ч. 2;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;IX;2701;3;Ст. 270-1 ч. 3;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;X;2710;1;Ст. 271 ч. 1;;;;;;2;1;;;;;2;1;;;;;200;100;;;;;;;;1;;;
2019;X;2710;2;Ст. 271 ч. 2;;7;1;;;5;1;;;;;2;0,5;;;;;;;;1;2;1;;;;3;;;
2019;X;2720;1;Ст. 272 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;200;100;;1;3;1;;;;1;;;
2019;X;2720;2;Ст. 272 ч. 2;;8;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;X;2730;1;Ст. 273 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;1;3;1;;;;2;;;
2019;X;2730;2;Ст. 273 ч. 2;;10;2;;;5;1;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;X;2740;1;Ст. 274 ч. 1;;4;1;;;4;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;X;2740;2;Ст. 274 ч. 2;;12;3;;;;;;;;;;;;;;;;;;2;3;1;;;;4;;;
2019;X;2750;1;Ст. 275 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;200;100;;1;2;1;;;;1;;;
2019;X;2750;2;Ст. 275 ч. 2;;5;2;;;5;1;;;;;2;0,5;;;;;;;;2;3;1;;;;2;;;
2019;XI;2760;1;Ст. 276 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;1;;;
2019;XI;2760;2;Ст. 276 ч. 2;;7;2;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2760;3;Ст. 276 ч. 3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2761;1;Ст. 276-1 ч. 1;;3;1;;;;;;;;;2;0,5;;;;;;;;;;;;;;2;;;
2019;XI;2770;1;Ст. 277 ч. 1;;3;1;;;2;1;;;;;2;0,5;;;;;250;50;;;;;;;;2;;;
2019;XI;2770;2;Ст. 277 ч. 2;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2770;3;Ст. 277 ч. 3;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2780;1;Ст. 278 ч. 1;;6;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2780;2;Ст. 278 ч. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2780;3;Ст. 278 ч. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2790;1;Ст. 279 ч. 1;;;;;;3;1;6;1;;;2;0,5;;;;;150;50;;;;;;;;1;;;
2019;XI;2790;2;Ст. 279 ч. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;XI;2790;3;Ст. 279 ч. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2800;1;Ст. 280 ч. 1;;;;;;3;1;6;1;;;2;0,5;;;;;50;30;;;;;;;;1;;;
2019;XI;2800;2;Ст. 280 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;XI;2800;3;Ст. 280 ч. 3;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2810;1;Ст. 281 ч. 1;;;;;;3;1;6;1;;;;;;;;;100;30;;;;;;;;1;;;
2019;XI;2810;2;Ст. 281 ч. 2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;XI;2810;3;Ст. 281 ч. 3;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2820;1;Ст. 282 ч. 1;;;;;;5;1;;;;;3;0,5;;;;;100;30;;;;;;;;1;;;
2019;XI;2820;2;Ст. 282 ч. 2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;XI;2820;3;Ст. 282 ч. 3;;12;5;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;XI;2830;1;Ст. 283 ч. 1;;;;;;3;1;6;1;;;2;0,5;;;;;50;30;;;;;;;;1;;;
